,store,sido,gungu,store_address
265,우방신세계,부산,동래구,부산 동래구 안락동 471-41 (부산 동래구 명장로 137-1)~8
266,가야,부산,부산진구,부산 부산진구 가야동 478 (부산 부산진구 엄광로 143)
267,개금1호,부산,부산진구,"부산 부산진구 개금동 2-1 (부산 부산진구 백양대로 208번길 90),6072"
268,개금2호,부산,부산진구,부산 부산진구 개금동 523-17 (부산 부산진구 복지로 22-2)
269,당감,부산,부산진구,"부산 부산진구 당감동 367-2 (부산 부산진구 동평로 46),9980"
270,범천,부산,부산진구,부산 부산진구 범천동 1278-11 (부산 부산진구 신암로 55-1)
271,부암1호,부산,부산진구,부산 부산진구 부암동 301-33 (부산 부산진구 동평로 184)
272,서면,부산,부산진구,부산 부산진구 부전동 266-24 (부산 부산진구 중앙대로 745-1)
273,양정,부산,부산진구,부산 부산진구 양정동 310-6 (부산 부산진구 연수로 13-1)
274,연지,부산,부산진구,부산 부산진구 연지동 40-12 (부산 부산진구 동평로 299)~2
275,전포1호,부산,부산진구,부산 부산진구 전포동 337-20 (부산 부산진구 전포대로 200번길 43)
276,초읍대공원,부산,부산진구,"부산 부산진구 초읍동 288-6 (부산 부산진구 새싹로 274-1),3498"
277,구포1호,부산,북구,"부산 북구 구포3동 1228-1 (부산 북구 시랑로101번길 38, A동 100호),5793"
278,구포2호,부산,북구,부산 북구 구포동 932-35 (부산 북구 백양대로 1061)
279,금곡(부산),부산,북구,부산 북구 금곡동 57-6 (부산 북구 효열로 228)
280,덕천2호,부산,북구,"부산 북구 덕천3동 781-2 (부산 북구 덕천로 135),343-3171"
281,덕천역,부산,북구,부산 북구 덕천동 402-12 (부산 북구 덕천2길 41)
282,만덕1호,부산,북구,부산 북구 만덕동 294 (부산 북구 만덕2로 3)
283,만덕2호,부산,북구,부산 북구 만덕3동 915-6 (부산 북구 만덕3로 44-1)
284,화명1호,부산,북구,부산 북구 화명동 749 (부산 북구 화명대로 108)
285,화명3호,부산,북구,"부산 북구 화명동 182-5(2층) (부산 북구 금곡대로 414, 2층)"
286,화명신도시,부산,북구,부산 북구 화명동 2266-1 (부산 북구 금곡대로 303번길 94)
287,괘법,부산,사상구,부산 사상구 괘법동 516-1 (부산 사상구 운산로 36)
